[2020-02-11 17:00:33] DEBUG (airqualityService.AirqualityService_getStackStdr - main:273) - mgtNo :DG2006C001
[2020-02-11 17:00:33] DEBUG (airqualityService.AirqualityService_getStackStdr - main:273) - mgtNo :DG2006D001
[2020-02-11 17:00:34] DEBUG (airqualityService.AirqualityService_getStackStdr - main:273) - mgtNo :DG2006E009
[2020-02-11 17:00:34] DEBUG (airqualityService.AirqualityService_getStackStdr - main:273) - mgtNo :DG2006E010
[2020-02-11 17:00:34] DEBUG (airqualityService.AirqualityService_getStackStdr - main:273) - mgtNo :DG2006E012
[2020-02-11 17:00:34] DEBUG (airqualityService.AirqualityService_getStackStdr - main:273) - mgtNo :DG2007B001
[2020-02-11 17:00:34] DEBUG (airqualityService.AirqualityService_getStackStdr - main:273) - mgtNo :DG2007B002
[2020-02-11 17:00:34] DEBUG (airqualityService.AirqualityService_getStackStdr - main:273) - mgtNo :DG2007B003
[2020-02-11 17:00:34]  INFO (airqualityService.AirqualityService_getStackStdr - main:334) - parsing complete!
[2020-02-11 17:01:40] DEBUG (airqualityService.AirqualityService_getStackStdr - main:271) - mgtNo :DG2007B002
[2020-02-11 17:01:41]  INFO (airqualityService.AirqualityService_getStackStdr - main:332) - parsing complete!
[2020-02-11 17:02:43]  INFO (airqualityService.AirqualityService_getStackStdr - main:332) - parsing complete!
[2020-02-11 17:03:28]  INFO (airqualityService.AirqualityService_getStackStdr - main:332) - parsing complete!
[2020-02-11 17:04:53]  INFO (airqualityService.AirqualityService_getStackStdr - main:334) - parsing complete!
[2020-02-11 17:05:12]  INFO (airqualityService.AirqualityService_getStackStdr - main:334) - parsing complete!
[2020-02-11 17:08:48]  INFO (airqualityService.AirqualityService_getStackStdr - main:330) - parsing complete!
