mgtNo|^gmenoCo2Val|^gmenoCh4Val|^gmenoN2oVal|^gmenoOtrVal|^umenoCo2Val|^umenoCh4Val|^umenoN2oVal|^umenoOtrVal|^rm
GG2012A001|^2098.71|^|^|^2107.0466|^|^|^|^144.63|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값 CO2 t/일/공사시 CO2 단위값  CO2 t
GG2012A002|^|^|^|^2241|^|^|^|^32551|^공사시 총 배출량 단위값 CO2eq t /년,운영시 총 배출량 단위값  CO2eq t/년
GG2012A003|^|^|^|^381.5|^|^|^|^|^공사시 총 배출량 단위 값 CO2 t
GG2012A005|^|^|^|^15673.416|^|^|^|^51024.23|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t/년
GG2012B001|^1202.82|^0.37|^1|^1204.19|^|^|^|^70309.75|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t
GG2012B002|^171.15|^0.2451|^0.4371|^171.83|^|^|^|^32332.62|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
GG2012B003|^|^|^|^966.62|^|^|^|^165285.66|^공사시 단위값 CO2eq t /년,운영시 단위값  CO2eq t/년
GG2012B004|^|^|^|^5807.6|^|^|^|^193190.3|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
GG2012B005|^|^|^|^4651.07|^|^|^|^53733.12|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
GG2012C001|^115.28|^|^|^115.69|^|^|^|^|^공사시 단위값 CO2eq t/공사시 CO2 단위값  CO2 t
GG2012E001|^3429.22|^2.92|^8.61|^|^|^|^|^23591.2|^운영시 총 배출량 단위값  CO2eq t/년/공사시 CH4 입력단위는 CO2eq t
GG2013A001|^|^|^|^1561.7|^|^|^|^19331.2|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
GG2013A002|^|^|^|^1003|^|^|^|^92144.62|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t/년
GG2013A003|^|^|^|^211.1|^|^|^|^49622.51|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
GG2013B001|^|^|^|^6093.5|^|^|^|^73345|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t
GG2013B002|^|^|^|^16718|^|^|^|^151264|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
GG2013B003|^1008.2|^0.9|^2.5|^1011.6|^|^|^|^108011.8|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
GG2013B004|^2257.9|^1.92|^5.67|^679.65|^|^|^|^22553.8|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년/공사시 CO2 CH4 N2O 단위값  CO2eq kg/일
GG2013B007|^|^|^|^3405.2|^|^|^|^143235.9567|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
GG2013B008|^9837.2|^8.4|^24.7|^9870.3|^|^|^|^82690.37|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
GG2013B009|^|^|^|^3892.78|^|^|^|^48152.26|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
GG2013B010|^|^|^|^1066.39|^|^|^|^241633.53|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
GG2013B011|^|^|^|^1980|^|^|^|^186575.634|^공사시 단위값  CO2 t/년,운영시 단위값  CO2eq t/년
GG2013B012|^|^|^|^16268.8|^|^|^|^390533|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t
GG2013B013|^56336.55|^47.9|^141.4|^56525.86|^|^|^|^1650.577|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
GG2013B014|^2106.6|^|^|^2133.8|^|^|^|^109041.6|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/공사시 CO2 단위값  CO2 t
GG2013D001|^|^|^|^4358.05|^|^|^|^|^공사시 단위값 CO2eq t
GG2013D002|^|^|^|^13939.3|^|^|^|^|^공사시 단위 값 CO2 t
GG2013D004|^|^|^|^575.73|^|^|^|^|^공사시 단위값  CO2 t/년
GG2013D005|^|^|^|^546.3|^|^|^|^9979.8|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
